City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Itarema,BR,86.59,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
8,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
11,Carnarvon,AU,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
12,Bac Lieu,VN,77.97,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
15,Hithadhoo,MV,82.04,overcast clouds,-0.6,73.0833,Scoop Guest House
17,Acapulco,MX,75.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
18,Coruripe,BR,87.22,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
19,Sao Miguel,BR,89.92,overcast clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
21,Chuy,UY,87.12,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
32,Sola,VU,75.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
35,Souillac,MU,80.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
39,Miranda,CO,77.13,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
41,Mar Del Plata,AR,75.09,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
47,Mango,US,77.58,clear sky,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
50,Santa Isabel Do Rio Negro,BR,78.94,overcast clouds,-0.4139,-65.0192,Hotel GSA
53,Sao Filipe,CV,75.96,clear sky,14.8961,-24.4956,Hotel Xaguate
54,Rikitea,PF,77.36,light rain,-23.1203,-134.9692,People ThankYou
55,Vao,NC,79.39,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
66,Nouakchott,MR,91.33,clear sky,18.0858,-15.9785,HOTEL IMAN
68,Viedma,AR,88.32,clear sky,-40.8135,-62.9967,Hotel Cristal
71,Lagos,NG,93.52,overcast clouds,6.5833,3.75,
72,Korhogo,CI,94.71,clear sky,9.45,-5.6333,Hôtel Tchinbota
73,Takoradi,GH,84.99,scattered clouds,4.8845,-1.7554,Raybow International Hotel
75,Touros,BR,88.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
76,Tubuala,PA,92.55,scattered clouds,9.5167,-79.0333,Río Nabagana
78,Namatanai,PG,78.8,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
83,Butaritari,KI,80.62,light rain,3.0707,172.7902,Isles Sunset Lodge
86,Itanhaem,BR,85.24,broken clouds,-24.1831,-46.7889,Prainha Residência Artística
90,Puerto Ayora,EC,80.56,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
96,Karratha,AU,83.07,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
98,Tumaco,CO,80.85,light rain,1.7986,-78.8156,Unión Victoria
101,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
102,Saint-Philippe,RE,78.35,heavy intensity rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
104,Santa Vitoria Do Palmar,BR,87.49,scattered clouds,-33.5189,-53.3681,Hostel Comodoro
105,Arraial Do Cabo,BR,82.36,light intensity drizzle,-22.9661,-42.0278,Pousada Porto Praia
107,Gizo,SB,80.51,light rain,-8.103,156.8419,Imagination Island
110,Maldonado,UY,81.79,broken clouds,-34.6667,-54.9167,La Cimarrona
113,San Pedro De Ycuamandiyu,PY,91.94,overcast clouds,-24.0917,-57.0764,Hotel Refugio
114,Concepcion Del Uruguay,AR,86.02,overcast clouds,-32.4825,-58.2372,Aires del Campo Cabañas y Hotel
119,Taoudenni,ML,77.88,clear sky,22.6783,-3.9836,
121,Beira,MZ,82.58,clear sky,-19.8436,34.8389,Beira Terrace Hotel
122,Faanui,PF,79.66,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
123,Springbok,ZA,75.2,clear sky,-29.6643,17.8865,Undulata Country Lodge
